,tweet_text
1/3/2019 21:17,b'RT @AnginMalamSiang: Tips apabila terjadi Tsunami\nApa saja langkah langkahnya\n....\n@CH_chotimah @Bimariosatria \n#01JokowiBanyakCinta https:\xe2\x80\xa6'
1/3/2019 21:16,b'RT @PowerEmak: @septria_yanto @SatyaJogja03 @agit2530 @The_Zhendi @BellaR01 @PinkyPixie123 @NonaCarina @ary_moto @LinNasution @NKRIForever\xe2\x80\xa6'
1/3/2019 21:16,b'Pak @jokowi  mengunjungi makam presiden pertama indonesia lr.soekarno\n#01JokowiBanyakCinta https://t.co/OrmTR67mda'
1/3/2019 21:13,b'Warga Blitar sangat Berantusias menyambut kedatangan pak @jokowi #01JokowiBanyakCinta'
1/3/2019 21:13,b'RT @Putra_PRP: Masih ingat nenek ini yang begitu semangat bertemu dan akhirnya berhasil memeluk pak Jokowi\n#01JokowiBanyakCinta https://t.c\xe2\x80\xa6'
1/3/2019 21:11,b'#01JokowiBanyakCinta karna iya adalah orang yang memiliki kesederhanaan terhadap cinta:)\n:):) Cinta akan Rakyatnya.\xe2\x80\xa6 https://t.co/dxqV3QzSz8'
1/3/2019 21:05,b'RT @diahbelia: Bukti kecintaan mereka lantaran pak @jokowi &amp; Kiai @KHMarufAmin_ demi NKRI #01jokowibanyakcinta\n@LinNasution \n\nhttps://t.co/\xe2\x80\xa6'
1/3/2019 21:00,"b'RT @Nisa_safiyaa: Presiden Jokowi tidak kenal lelah mengunjungi masyarakat, apa yg menjadi keluhan lsg dijawab. Di Gorontalo masalah listri\xe2\x80\xa6'"
1/3/2019 20:59,"b'RT @Mufa_Anwar: With Jokowi, for the greatest Indonesia.\n#01JokowiBanyakCinta https://t.co/xJzM1n8nWW'"
1/3/2019 20:56,"b'RT @AbadiSujito: Lihat foto ini sungguh bikin baper. Rakyat saja cinta pada Pak Jokowi, apalagi Bu Iriana ya. \n\n#01JokowiBanyakCinta https:\xe2\x80\xa6'"
1/3/2019 20:55,b'RT @udanglauik: #01JokowiBanyakCinta https://t.co/dEXE1BvcIf'
1/3/2019 20:42,b'\xe2\x80\x9cKalau sudah cukup silakan dari keuntungan bukan dari pinjaman. Keuntungannya itu ditabung silakan mau beli mobil s\xe2\x80\xa6 https://t.co/p5LdqGm89Z'
1/3/2019 20:42,"b'Kalau untung, sebulan untung Rp5 juta tabung, sebulan untung Rp3 juta tabung, sebulan untung Rp8 juta tabung.\n\n #01JokowiBanyakCinta'"
